Entidad;Erakundea;Calle;Código Postal;Población;Geo;Revisión;Teléfono;Web;Otros
Departamento de Medio Ambiente, Planificación Territorial y Vivienda;Ingurumen, Lurralde Plangintza eta Etxebizitza Saila;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-28 11:26:21 UTC;"";""
Viceconsejería de Cultura, Juventud y Deportes;Kultura, Gazteria eta Kirol Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-30 11:11:46 UTC;"";""
Centro Atuel'ko Euskotarrak;;Patricias Mendozinas, 198 - Mendoza;5620;General Alvear;, ;2011-11-22 13:21:38 UTC;02625422130;"";fax: 02625422130
Centro Basko Beti Aurrera Aberri Etxea de Viedma y Patagones;;"";8500;Viedma;-40.8, -63.0;2011-11-23 09:20:46 UTC;02920422289;""
"Centro Vasco ""Ibai Guren""";;Pellegrini, 547;3100;Pananá;, ;2011-11-24 11:53:09 UTC;03434312994;""
Comité Vasco de Deporte Universitario;Unibertsitate Kirolaren Euskal Batzordea;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2013-03-15 10:54:49 UTC;945019461;""
c2+i (c2masi S.L.);;Avda. de las Universidades, 19 - 1º dcha.;01015;Vitoria-Gasteiz;42.9100779012294, -2.66954590953036;2014-03-20 16:00:32 UTC;945233391;http://www.c2masi.wordpress.com/ http://www.conexionesimprobables.com;fax: 945306151
Kook Comunicación;Kook Comunicación;Correría, 28 - Bajo;01005;Vitoria-Gasteiz;42.8476795684848, -2.67342569717445;2014-05-05 10:43:22 UTC;945064445;http://www.kook.es
IVAP / HAEE - Instituto Vasco de Administración Pública;IVAP / HAEE - Herri Arduralaritzaren Euskal Erakundea;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2012-07-31 12:13:10 UTC;945017600;http://www.ivap.euskadi.net;fax: 945017602
Centro Vasco Argentino Beti Aurrera;;Palemón Huergo, 71;6620;Chivilcoy;-34.8913398, -60.0286981;2011-11-30 11:40:45 UTC;2346431866;http://www.centrovascochivilcoy.blogspot.com
Centro Vasco de Caracas;;Urb. El Paraíso, Av. Arismendi calle Monte Elena;19292;Caracas, Distrito Federal;10.473975, -66.8796685;2011-11-30 13:52:33 UTC;2124816131;"";fax: 2124840448
Centro Vasco Euskal-Etxea San Nicolás;;Belgrano, 139;2900;San Nicolás de los Arroyos;-33.3284893, -60.2187272;2011-12-13 13:14:02 UTC;3461450071;http://www.euzkalnik.com.ar
Centro Vasco Euzko Etxea;;Lisandro de la Torre, 33;5900;Villa María;-32.4088165, -63.2424398;2011-12-13 13:39:56 UTC;3534534400;""
Construcción, las noticias del sector en Euskadi;;Plaza justo Perez Etxebarria, 4 - 7ªAD;48903;Baracaldo;, ;2015-05-04 12:03:04 UTC;944970841/ 944970841;http://www.periodicoconstruccion.com
IscComunicación;;Pozueta , 11 - 4B;48330;Lemona;, ;2015-05-07 10:19:51 UTC;"";""
Comisión Consultiva de Consumo de Euskadi;Euskadiko Kontsumoko Kontsulta Batzordea;Santiago, 11;01002;Vitoria-Gasteiz;42.8472889907373, -2.66634275604274;2012-02-23 10:50:10 UTC;945062140;http://www.kontsumobide.eus;fax: 945062141
Mobide Solutions;;Plaza Cantera, 5 - Planta 3, módulo 5;48003;Bilbao;, ;2015-05-08 10:00:16 UTC;944078249;""
Viceconsejería de Agricultura, Pesca y Política Alimentaria;Nekazaritza, Arrantza eta Elikadura Politikako Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-07 13:02:53 UTC;"";""
IVE - Instituto Vasco de Estadística (Eustat);EEE - Euskal Estatistika Erakundea (Eustat);Donostia-San Sebastián, 1 -  LAKUA;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2017-02-06 14:07:59 UTC;945017500;http://www.eustat.eus;fax: 945017501
Parque Tecnológico de Álava;Arabako Teknologi Parkea;Hermanos Lumiere, 11;01510;Vitoria-Gasteiz;42.9103483468466, -2.66421612345574;2013-04-11 09:07:50 UTC;945010055;http://www.parke.eus;fax: 945298034
Comisión de Seguridad Vial de Euskadi;Euskadiko Bide Segurtasuneko Batzordea;"";"";;40.463667, -3.74922;2013-11-05 12:14:01 UTC;"";"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-bopv2/es/p43aBOPVWebWar/VerParalelo.do?cd2012003068
Osatek;Osatek;Alameda Urquijo, 36 -  5 º. Edificio Plaza Bizkaia;48011;Bilbao;43.2602935029, -2.93693401254;2016-03-31 13:52:10 UTC;944007112;http://www.osakidetza.euskadi.eus;fax: 944007122
KONTSUMOBIDE - Instituto Vasco de Consumo. Sede Central;KONTSUMOBIDE - Kontsumoko Euskal Institutua. Egoitza nagusia;Santiago, 11;01002;Vitoria-Gasteiz;42.847289016808, -2.66634280462172;2016-11-28 16:17:23 UTC;945062140;http://www.kontsumobide.eus;fax: 945062141
Kontsumobide. Servicio Territorial de Gipuzkoa;Kontsumobide. Gipuzkoako lurralde-zerbitzua;Easo, 10 - 5º;20006;Donostia-San Sebastián;43.3171257932403, -1.98412107144118;2016-11-28 16:20:08 UTC;943022547;http://www.kontsumobide.eus;fax: 943022572
Kontsumobide. Centro de Formación en Consumo de Vitoria-Gasteiz;Kontsumobide. Kontsumoko Gasteizko prestakuntza-zentroa;Adriano VI, 20 - 1º;01008;Vitoria-Gasteiz;42.8474812850168, -2.68199535157779;2016-11-29 10:05:45 UTC;945016600;http://www.kontsumobide.eus;fax: 945016601
Viceconsejería de Vivienda;Etxebizitza Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-11-29 12:27:48 UTC;"";""
Grupo de comunicación HIRUKA;HIRUKA komunikazio-taldea;Martikoena , 16 - 2º;48991;Algorta;, ;2015-06-11 07:29:53 UTC;944911337;http://www.hiruka.eus;facebook: http://www.facebook.com/HirukaEus;twitter: http://twitter.com/@HirukaEus
IMAGO COMUNICACIÓN E IMAGEN;;Infanta Eulalia, 45;20301;Irun;, ;2015-07-01 10:44:48 UTC;943311417;http://www.imagocomunicacion.com
ESBAI COMUNICACIÓN;KOMUNIKAZIOA ESBAI;C/ Aranzábal, 9-oficinas - 2;01008;Vitoria-Gasteiz;42.844166539908, -2.68128745648346;2015-07-27 09:20:23 UTC;"";""
Centro Basko Mendi'ko Euzko Etxea;;Con Con s/n Las Chacras;8400;San Carlos de Bariloche;, ;2011-11-23 10:09:08 UTC;2944432400;""
Centro Vasco Denak Bat de Mendoza;;Barcala, 643;5500;Mendoza;-32.8813271, -68.8455987;2011-11-23 11:22:20 UTC;02614236429;http://www.centrovascomendoza.org.ar
"Centro Vasco Argentino ""Lagunen Etxea""";;Avda. P. Pereyra, 1418;7414;Laprida;, ;2011-11-30 11:04:28 UTC;2285420620;"";fax: 2285420515
Landazuri Elkartea / Sociedad Cívico Cultural Landázuri;Landazuri Elkartea;Pintorería, 68 - C;01001;Vitoria-Gasteiz;42.8492741807515, -2.67054051700291;2014-02-28 13:45:55 UTC;620956688;http://www.landazuri.com
Junta Arbitral de Consumo de Euskadi;Euskadiko Kontsumoko Artitraje Batzordea;Santiago, 11;01002;Vitoria-Gasteiz;42.8472889907373, -2.66634275604274;2012-02-16 14:55:23 UTC;945062170/ 945062171;http://www.kontsumobide.euskadi.eus/arbitraje;fax: 945062143
Sociedad Excursionista Manuel Iradier;Manuel Iradier Txangolari Elkartea;Pintorería, 15;01001;Vitoria-Gasteiz;42.8482109, -2.6702675;2014-03-01 09:55:17 UTC;945286532;http://www.manueliradier.com;fax: 945286532
Cadena 100 Vitoria-Gasteiz;Cadena 100 Vitoria-Gasteiz;San Antonio 2, Bajo;01005;Vitoria-Gasteiz;42.8445456102, -2.67441392167;2011-09-21 21:07:00 UTC;945134630;"";fax: 945137577
Scriptorium;Scriptorium;Beato Tomás de Zumárraga, 67;01008;Vitoria-Gasteiz;42.851128123, -2.69057515574;2011-09-21 21:06:59 UTC;945214448;http://www.teologiavitoria.org;fax: 945247857
Colegio Oficial de Odontólogos y Estomatólogos de Álava;Arabako Odontologo eta Estomatologoen Elkargo Ofiziala;Portal de Gamarra, 1 -  Ofic. 306  Edificio Deba;01013;Vitoria-Gasteiz;42.8814955, -2.6685736;2011-09-21 21:06:59 UTC;945262855;http://colegiodentistasalava.com;fax: 945 - 12 19 52
Dato Económico Edición Alava;Dato Economico Araba edizioa;Correría, 53;01001;Vitoria-Gasteiz;42.8482085052211, -2.67364078044351;2014-03-20 19:21:07 UTC;945125009;http://www.datoeconomico.com;fax: 945121676
Berria - Delegación Álava;Berria - Arabako ordezkaritza;Bizenta Mogel, 6;01008;Vitoria-Gasteiz;42.8442600943, -2.6807028605;2014-03-26 15:22:32 UTC;945150452;"";fax: 945148307
Cadena Ser Vitoria;Cadena Ser Vitoria;General Álava, 10 -  6º;01005;Vitoria-Gasteiz;42.8450139813, -2.67312587132;2011-09-21 21:07:00 UTC;945144644;http://www.cadenaser.com/ http://www.servitoria.com;fax: 945132786
Sala de Graduados Sociales;Graduatu Sozialen Aretoa;Avenida Gasteiz, 18 -  bajo;01008;Vitoria-Gasteiz;42.8433996312, -2.6823178057;2011-09-21 21:07:01 UTC;945147098;"";fax: 945 - 14 71 47
KONFEKOOP - Confederación de Cooperativas de Euskadi ;KONFEKOOP - Euskadiko Kooperatiben Konfederazioa ;Reyes de Navarra, 51;01013;Vitoria-Gasteiz;42.8608800137202, -2.66970827196804;2012-03-22 14:39:06 UTC;945122053;http://www.konfekoop.coop/;fax: 945253959
Colegio Vasco de Economistas. Sección Álava;Ekonomilarien Euskal Elkargoa. Araba Saila;San Vicente de Paúl, 3 -  bajo;01001;Vitoria-Gasteiz;42.8491794, -2.6700791;2011-09-21 21:07:00 UTC;945250209;http://www.ekonomista.org;fax: 945 28 02 86
Autoridad Vasca de la Competencia;Lehiaren Euskal Agintaritza;Ercilla, 4;48009;Bilbao;43.2652925219341, -2.93017820712738;2013-08-13 07:05:59 UTC;944032813;http://www.competencia.euskadi.net;fax: 944032801
Consejo Asesor de Política Territorial;Lurralde Politikako Aholku Batzordea;"";"";;40.463667, -3.74922;2013-10-23 08:39:50 UTC;"";"";funciones: http://www.bopv.euskadi.net/cgi-bin_k54/bopv_20?c&f=20080125&a=200800502
Viceconsejería de Tecnología, Innovación y Competitividad;Teknologia, Berrikuntza eta Lehiarkotasun Sailburuordetza;Donostia-San Sebastián, 1 - LAKUA;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-07 13:02:25 UTC;"";""
Viceconsejeria de Formación Profesional ;Lan Heziketako Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588330749507, -2.68725856523201;2016-12-09 07:47:14 UTC;"";""
Campus de Álava;Arabako Campusa;Comandante Izarduy, 2;01005;Vitoria-Gasteiz;42.8397468490324, -2.66857414614575;2017-01-13 10:32:57 UTC;945014444;http://www.araba.ehu.eus;fax: 945013333
Sustrai;Sustrai;Donostia-San Sebastian, 1 -  Lakua;01010;Vitoria-Gasteiz;42.8588503973, -2.68731699573;2014-08-19 08:12:49 UTC;945019709;http://www.euskadi.net/sustrai;fax: 945019702
Centro Laurak Bat;;Av. Belgrano, 1144;C1092AAY;Buenos Aires;-34.6131883, -58.3823726;2011-11-23 11:11:44 UTC;1143833903;http://www.laurakbat.com.ar
"Centro Vasco ""Nuestro Rincón - Gure Txokoa""";;Av. San Martín, 539;7203;Rauch;-34.5984993, -58.5599976;2011-11-29 12:27:51 UTC;2297442318;""
Radio Euskadi;Radio Euskadi;Capuchinos de Basurtu, 2;48013;Bilbao;43.2620430141, -2.95130641292;2011-09-21 21:06:59 UTC;944012400;http://www.eitb.eus;fax: 944012195;fax: 944012196
URA - Agencia Vasca del Agua;URA - Uraren Euskal Agentzia;Orio, 1;01010;Vitoria-Gasteiz;42.8655772477687, -2.69395553206289;2016-11-29 08:32:04 UTC;945011700;http://www.uragentzia.euskadi.eus;fax: 945011701
Centro Vasco Denak Bat Cañuelas;;Del Carmen, 446;1814;Cañuelas;-35.0547389, -58.7626186;2011-12-01 15:10:01 UTC;2226421756;http://www.geocities.com/canuelasdenakbat;fax: 2226421756
Centro Vasco Denak Bat de Lomas de Zamora;;Av. Manuel Fernández, 130 - Temperley;1834;Lomas de Zamora;-34.7838326, -58.423954;2011-12-01 15:20:43 UTC;1142448481;"";fax: 1142448481
Colegio Oficial de Podólogos del País Vasco;Euskadiko Podologoen Elkargoa;Cantón de Anorbín, 2;01001;Vitoria-Gasteiz;42.8491595, -2.674036;2013-01-03 13:39:07 UTC;945287438;http://www.podologiaeuskadi.com;fax: 945287438
Harman Comunicación y Marketing;Harman Komunikazioa eta Marketina;Astigarraga Bidea, 2. 5. piso. Oficina nº 3., 2 - Leku Berri eraikina. 5. pisua. 3. bulegoa;20180;Oiartzun;43.2992823, -1.8578741;2011-12-15 09:07:39 UTC;943492582;http://www.harman.ws;twitter: http://twitter.com/@harmangarriak
Centro Vasco Toki Eder;;José C. Paz, 2120;1665;José C. Paz;-34.5226799, -58.7549382;2011-12-19 10:40:09 UTC;2320442842;""
Museos Dependientes de la Diputación Foral de Álava;Arabako Aldundiaren Museoak;Probintzia plaza, 5 -  3.a;01001;Vitoria-Gasteiz;42.8471762, -2.6750897;2014-03-01 09:04:04 UTC;945181818;http://www.alava.net;fax: 945181947
Archivo Histórico Provincial de Álava;Arabako Artxibo Historiko Probintziala;La Zumaquera, 21 - Paseo de ;01006;Vitoria-Gasteiz;42.8362314, -2.6689514;2012-10-29 11:00:59 UTC;945062202;"";fax: 945062201
Colegio Oficial de Enfermería de Álava;Arabako Erizainen Elkargo Ofiziala;Senda de los Canónigos, 2 -  bajo;01002;Vitoria-Gasteiz;42.853539, -2.6680569;2011-09-21 21:07:00 UTC;945274877;http://www.enfermerialava.org;fax: 945 28 98 06
Colegio Oficial de Médicos de Álava;Arabako Sendagileen Elkargo Ofiziala;Avenida Santiago, 7 -  1º;01002;Vitoria-Gasteiz;42.846995, -2.6666122;2011-09-21 21:07:00 UTC;945258233;http://www.icoma.eu;fax: 945266167
Consejo Asesor de Enseñanzas Musicales;Musika Irakaskuntzen Aholku Batzordea;"";"";;40.463667, -3.74922;2013-03-07 12:35:51 UTC;"";""
Subdelegación del Gobierno en Álava;Gobernuaren Ordezkariordetza Araban;Olaguibel, 1;01004;Vitoria-Gasteiz;42.8468074279873, -2.67077519146658;2012-02-28 11:20:55 UTC;945759300;http://www.seap.minhap.gob.es/es/ministerio/delegaciones_gobierno/subdelegaciones/a/sub_alava.html;fax: 945759301
Federación de Cooperativas Agro-alimentarias de Euskadi;Euskadiko Nekazari-elikagaien Kooperatiben Federazioa;Reyes de Navarra, 51 bajo;01013;Vitoria-Gasteiz;42.8608973964, -2.66976661467;2012-03-26 10:23:56 UTC;945257088;http://www.euskadi.coop;fax: 945253959
Ardatza (agrícola-ganadera);Ardatza (nekazaritza-abeltzaintza);Plaza Simón Bolivar, 14 -  1º;01003;Vitoria-Gasteiz;42.8484897008, -2.66212779468;2011-09-21 21:07:01 UTC;945275477;http://www.ehne.eus;fax: 945277040
Celedón;Celedón;Portal de Castilla, 42 -  1º Centro;01007;Vitoria-Gasteiz;42.8420579687, -2.68477042048;2011-09-21 21:07:01 UTC;945132410;""
Dos de Allá;;Calle Mejía Lequerica, 12 - 4º ext. dcha;28004;Madrid;, ;2015-10-19 09:56:19 UTC;634606624;""
Colegio Oficial de Peritos e Ingenieros Técnicos Industriales de Álava;Arabako Ingeniari Tekniko Industrialen Elkargo Ofiziala;Plaza Gerardo Armesto, 2 -  1º;01008;Vitoria-Gasteiz;42.8462487503, -2.68260496806;2014-02-06 20:06:24 UTC;945220929;http://www.itiaraba.org;fax: 945229885
Estébanez, Navarro & Asociados, S.L. (Desarrolladores Multimedia);Estébanez, Navarro & Asociados, S.L. (Desarrolladores Multimedia);Portal de Castilla, 80 -  Bajo;01007;Vitoria-Gasteiz;42.839882168, -2.69101335797;2014-03-21 10:33:56 UTC;945144343;http://www.eniapublicidad.com;fax: 945141444
Vinaixa Comunicación y Diseño;;Basagoiti, 72 - 1º - Avenida;48993;Getxo;43.3521921380246, -3.01366090552434;2013-01-15 09:22:19 UTC;944602366;http://www.vinaixa.biz
Oficina de Vitoria;;Portal de Gamarra, 1 - Planta 10 of.1;01013;Vitoria-Gasteiz;42.8603182462544, -2.66259683716625;2011-10-19 13:52:16 UTC;945104896;http://www.adimen.es;fax: 945104987
Colegio Oficial de Licenciados en Ciencias de la Actividad Física y el Deporte del País Vasco;Euskal Herriko Soin Iharduera eta Kirolaren Zientzietako Lizentziatuen Elkargo Ofiziala;Ctra. de Lasarte, s/n;01007;Vitoria-Gasteiz;42.8382917, -2.6838452;2012-03-28 12:38:27 UTC;945139997/ 615749907;http://www.colcafid.net
Colegio de Mediadores de Seguros de Álava;Arabako Aseguruetako Artekarien Elkargoa;Pintor Carlos Sáez de Tejada, 4 -  1º Ofic. 1;01008;Vitoria-Gasteiz;42.848249, -2.6847201;2011-09-21 21:06:59 UTC;945223972;"";fax: 945 - 21 30 97
Suárez Alba (Consultores de Comunicación e Imagen);Suárez Alba (Consultores de Comunicación e Imagen);Los Herran, 1;01004;Vitoria-Gasteiz;42.8444749, -2.6663458;2014-03-24 11:17:35 UTC;945257942;"";fax: 945121673
Osakidetza;Osakidetza;Alava, 45;01006;Vitoria-Gasteiz;42.8372356466966, -2.67882268654619;2016-03-31 13:51:02 UTC;945006211;http://www.osakidetza.euskadi.eus;fax: 945006194
Kind Visuals;Kind Visuals;C/ Las Escuelas , 10 - Of. 11;01001;Vitoria;42.8489527, -2.6718671;2013-05-21 14:15:39 UTC;945269478;http://www.kindvisuals.com
Viceconsejería de Universidades e Investigación;Unibertsitate eta Ikerketa Sailburuordetza;Donostia-San Sebastián, 1;01010;Vitoria-Gasteiz;42.8588327148197, -2.68725856704953;2016-12-09 07:48:03 UTC;"";""
EJIE - Sociedad Informática del Gobierno Vasco;EJIE - Eusko Jaurlaritzaren Informatika Elkartea;El Mediterráneo, 14 - Avda. de;01010;Vitoria-Gasteiz;42.8506651044577, -2.69372337899833;2016-11-28 17:39:16 UTC;945017300;http://www.ejie.eus;fax: 945017301
VISESA - Sociedad Pública de Vivienda y Suelo de Euskadi, S.A.;VISESA - Euskadiko Etxebizitza eta Lurra S.A. sozietatea publikoa;Portal de Gamarra, 1 - A - 2ª planta (Edificio el Boulevard);01013;Vitoria-Gasteiz;42.8603183015693, -2.66259675500198;2016-11-29 08:31:19 UTC;945214050;http://www.visesa.eus;fax: 945068440
ORUBIDE, S.A. - Centro de Gestión del Suelo;ORUBIDE, S.A. - Lurzoruaren Kudeaketa Zentrua;Portal de Gamarra, 1-A - 2ª planta;01013;Vitoria-Gasteiz;42.858721, -2.6631165;2011-09-12 11:17:28 UTC;945214209;http://www.orubide.com;fax: 945068441
Artium - Centro-Museo Vasco de Arte Contemporáneo;Artium - Arte Garaikideko Euskal Zentro-Museoa;Francia, 24;01002;Vitoria-Gasteiz;42.8494267695, -2.66802074635;2011-09-21 21:07:01 UTC;945209020;http://www.artium.org;fax: 945 - 20 90 49
Gasteizko Industria Lurra, S.A. - GILSA;Gasteizko Industria Lurra, S.A. - GILSA;Dato, 14 - 16  3º  Dpto. F;01005;Vitoria-Gasteiz;42.8446732436, -2.67254821673;2011-09-21 21:07:01 UTC;945161255;http://www.jundiz.com;fax: 945 - 16 19 79
TVE Vitoria-Gasteiz;TVE - Vitoria-Gasteiz;Plaza Simón Bolivar, 13;01003;Vitoria-Gasteiz;42.8486980096, -2.66217630887;2011-09-21 21:07:01 UTC;945231833/ 945144966;http://www.rtve.es;fax: 945134353
Museo de Armería de Álava;Arabako Arma Museoa;Paseo de Fray Francisco de Vitoria, 3;01007;Vitoria-Gasteiz;42.841347984, -2.67854423185;2011-09-21 21:07:01 UTC;945181925;http://www.alava.net;fax: 945181922
Asociación Internet & Euskadi;Internet & Euskadi Elkartea;Torrebillela - Beko Kalea, 5;48100;Mungia;43.3530196375743, -2.84784658078203;2013-01-15 09:10:20 UTC;"";http://www.interneteuskadi.org
NABO - North American Basque Organization, Inc.;;15850 Old Hickory Lane;91709;Chino Hills;33.965792, -117.697358;2013-01-15 10:10:35 UTC;9095974526;http://www.nabasque.org
New México Euskal Etxea / Basque Club of New México;;2307 Camino Artista;NM87505;Santa Fe;35.7170995, -105.9388225;2013-01-15 10:21:49 UTC;5056709642;http://www.buber.net/NMEE
Beterri Kostako Industrialdea, S.A. - Parque Empresarial Zuatzu;Beterri Kostako Industrialdea, S.A. - Zuatzu Enpresa Parkea;Juan Fermín Gilisagasti, 1 -  Edif. Zurriola Planta 2ª Local 45;20018;Donostia-San Sebastián;43.2966974, -2.0056068;2013-11-07 10:23:23 UTC;943316639;http://www.sprilur.es;fax: 943316286
Delegación Territorial de Educación de Álava;Arabako Hezkuntza Lurralde Ordezkaritza;San Prudencio, 18 - bajo;01005;Vitoria-Gasteiz;42.8439165601058, -2.67140139167483;2013-03-20 18:20:25 UTC;945017200;"";fax: 945017201
Euskal Herriko Ikastolak Europar Kooperatiba Elkartea - Gipuzkoa;al Herriko Ikastolak Europar Kooperatiba Elkartea - Gipuzkoa;Errotazar bidea, 124;20018;Donostia-San Sebastián;43.2816176, -2.007632;2014-02-11 18:26:42 UTC;943445108;http://www.ikastola.net;fax: 943465294
Radio Vitoria;Gasteiz Irratia;Domingo Martínez de Aragón, 5 - 7;01006;Vitoria-Gasteiz;42.8378783, -2.6720553;2013-08-19 08:05:05 UTC;945012500;http://www.eitb.eus;fax: 945012695
Adimen Investigación, S.L.;;Portal de Gamarra, 1 - Planta 10 of.1;01013;Vitoria-Gasteiz;42.8603182462544, -2.66259683716625;2014-08-25 09:15:43 UTC;945104896;http://www.adimen.es;fax: 945104897
Museo de Bellas Artes de Álava;Arabako Arte Eder Museoa;Paseo de Fray Francisco, 8;01007;Vitoria-Gasteiz;42.8395595, -2.6856392;2014-02-28 14:07:21 UTC;945181918/ 945155226;http://www.alava.net;fax: 945181919
Colegio Oficial de Aparejadores y Arquitectos Técnicos de Álava;Arabako Aparejadore eta Arkitekto Teknikoen Elkargo Ofiziala;Senda José Luis Gonzalo-Bilbao, 1 -  bajo;01008;Vitoria-Gasteiz;42.8506345, -2.6879569;2011-09-21 21:07:01 UTC;945222866;http://www.coaatalava.org;fax: 945 24 12 69
Grupo Xabide (Gestión Cultural y Comunicación Global);Grupo Xabide (Gestión Cultural y Comunicación Global);Arrasate, 11 -  Betoño;01013;Vitoria-Gasteiz;42.8584801, -2.6556115;2011-09-21 21:07:01 UTC;902253500;http://www.grupoxabide.es;fax: 902 253 874
Spot Advertising Agency S.L.;Spot Advertising Agency S.L.;Valladolid, 32 -  behea;01002;Vitoria-Gasteiz;42.852053650123, -2.66155382917934;2012-03-27 07:42:14 UTC;945265237;""
Delegación de Euskadi en México;Euskadiren Mexikoko Ordezkaritza;Horacio 1213 - Colonia Polanco;1150;MIguel Hidalgo;19.4345171, -99.2010922;2013-04-30 10:28:14 UTC;5552541552;"";funciones: http://www.lehendakaritza.ejgv.euskadi.net/r48-contorg/eu/contenidos/organo/del_mexico/eu_dellmex/eu_mex.html
Delegación Territorial de Trabajo, Empleo y Políticas Sociales de Alava;Lan, Enplegu eta Gizarte Politikarako Arabako Lurralde Ordezkaritza;Samaniego, 2, 2;01008;Vitoria-Gasteiz;42.8480112, -2.676913;2015-12-15 09:08:32 UTC;945017030;"";fax: 945017031
Ayuntamiento de Vitoria-Gasteiz;Vitoria-Gasteizko Udala;Plaza de España, 1;01001;Vitoria-Gasteiz;42.8463806, -2.6723489;2016-05-27 07:24:19 UTC;945161616;http://www.vitoria-gasteiz.org;fax: 945161398;geoeuskadi: http://www.geo.euskadi.eus/s69-bisorea/eu/x72aGeoeuskadiWAR/index.jsp?lang=eu&prov=01&mun=059&wmsLayers=limites-administrativos#74;udalmap: http://www.ogasun.ejgv.euskadi.eus/r51-20876x/eu/t64amVisorWar/t64aCreaFicha.jsp?R01HNoPortal=true&lan=1&code=01059
Colegio Oficial de Ingenieria Geomática y Topográfica. Delegación de Euskadi;Geomatika eta Topografia Ingenieritzako Elkargo Ofiziala. Euskadiko Ordezkaritza;Libertad, 6 bajo - oficina 2;01002;Vitoria-Gasteiz;42.8479704, -2.6671578;2016-09-05 07:38:31 UTC;945251870;http://www.coit-topografia.es;fax: 945251870
